stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
잠실새내,THU,31.22,165.13,384.5,737.5,899,893.38,911.38,850.75,948.75,1052.63,1199,1438,1887.25,2578.13,2243.25,2198.63,1594.75,1236.88,854.25,655.5
잠실새내,FRI,35.44,148.11,338.56,729.44,900.22,950.11,998,923.44,1003.78,1163.56,1350.11,1578.89,2009.11,2693.33,2561.22,2480.89,1837.67,1263.33,926.56,780.11
잠실새내,SAT,30,130.67,172.56,534.33,701,746.22,1043.89,1056.89,1229.22,1484.11,1507.33,1530,1732,1736,1630.22,1380.33,1168.56,986.33,786.22,513.78
잠실새내,SUN,20.67,84.33,97.56,199.44,363,401.67,624.56,808.33,902.22,1014,1028,1124.89,1193.44,1298,1124.22,1019.89,845.33,670.78,555.11,248.78
종합운동장,MON,28.11,205.33,367.11,719.22,626.11,751.89,476.56,938.44,1528.89,517.33,372.44,442.67,914.44,1144.78,653.44,662.11,502.89,358.56,279,192.56
종합운동장,TUE,26.11,198.56,486.56,839,682.89,817.22,441.67,538.89,769.22,404,411.78,520.56,1052.67,1460.44,1727.78,1727.33,672.56,403.67,310.67,224
종합운동장,WED,25.89,184.13,486.25,832.5,599.13,769.5,345.75,366.63,311.88,372.63,446.75,591.38,711.63,1072.38,1730.25,1715.25,699.5,412,332,240.5
종합운동장,THU,23.22,163.5,452.25,843.5,552.13,717.5,343.38,311,276,341.5,426.25,574.25,1123.38,1878.75,1710.88,1648.25,653.63,415.88,344.88,241.13
종합운동장,FRI,27.33,173.22,428.11,742.89,540.78,719.67,387.56,388.44,379.11,687.78,1178.11,989.11,1830.78,2291.56,2326.89,2100.22,808,427.44,319.11,296.44
종합운동장,SAT,30.22,317,392.11,531.33,436.44,448.44,425.22,530.67,670.56,1668,3100.33,2372.78,1568,2360.89,984.11,465.89,342.22,321,268.33,162.11
종합운동장,SUN,41,183.78,204.89,377.33,422.56,569.67,742.56,1666.89,2960.67,1777,2698.33,930.44,665.67,638.67,489.67,404,250.78,216.44,173.78,90
삼성,MON,193.33,748.67,2539.56,6448.56,6858.22,8927.44,6071.67,2827,2182.56,1943.22,1909,1625.22,1708.22,1623.56,1381.11,1264.11,819.78,476.22,320.22,265.22
삼성,TUE,214.44,876.89,3168.11,8311.89,8379.22,9313.44,6626.56,3146.67,2451.11,2023.44,1982.89,1786.44,1815.11,1811.44,1502.78,1450,900.11,473.78,335.89,261.11
삼성,WED,210.67,940.75,3497.5,9235.13,9076.63,10174.75,6651.13,3388.38,2549.38,2282.63,2129.13,1956.5,2052.25,2199.38,1870.25,1669.88,959.75,507.63,346.63,271.13
삼성,THU,190.22,911.75,3358.63,8663,8855.88,8604.63,6118.75,3088.75,2654.25,2239.13,2178,1878.5,1945.88,2059.63,1669.13,1396.88,850,523.25,371.63,269.25
삼성,FRI,203.56,793.22,2927.56,7626.89,7508.56,8900.89,6167.78,3262.11,2877.11,2521.33,2456.89,2247.44,2266.11,2211.33,1936.44,1636.67,986.78,567.78,398.56,316.22
삼성,SAT,81.56,398.33,536.33,1260.89,1780.78,2335.78,2909.78,2941.56,3159.89,3135.11,2861.11,2900.33,2469.56,2009.22,1510.11,1006.22,682.67,474.44,355.89,334
삼성,SUN,50.33,291.11,387.11,1030.56,1409.67,2115.44,2510.11,2423.78,2692.22,2410.44,2144.89,2049.89,1549.78,1283.33,958.67,696.33,485.33,346.33,256.44,228.78
선릉,MON,233.44,726.78,2163.89,5376.89,6319.11,7787.89,5747.78,3076.56,2291.78,1908.78,1990,1718.78,1735.11,1726,1502.56,1397.78,965.89,647.33,465,302.33
선릉,TUE,255.56,881,2669.89,6865.22,7222.67,8092.11,5961,3249.33,2503.56,2121.78,2096.22,1831.33,1926.89,2009,1679.11,1524.22,1032.11,664.56,480.22,366.67
